City/Town,State or union territory,Place,Latitude,Longitude,AVERAGE,Exceeding/Not exceeding
NeemKaThana,Rajasthan,"NeemKaThana, Rajasthan",27.73937,75.777846,62.25999832,Exceeding
Nehtaur,Uttar Pradesh,"Nehtaur, Uttar Pradesh",29.32364,78.3870668,55.72000046,Exceeding
Nepanagar,Madhya Pradesh,"Nepanagar, Madhya Pradesh",21.45323,76.4215988,48.85999985,Exceeding
New Delhi,Delhi,"New Delhi, Delhi",28.61394,77.2090212,134.7199982,Exceeding
Nimbahera,Rajasthan,"Nimbahera, Rajasthan",24.62566,74.6810274,57.2,Exceeding
Niwai,Rajasthan,"Niwai, Rajasthan",26.36093,75.9289046,64.47999954,Exceeding
Niwari,Madhya Pradesh,"Niwari, Madhya Pradesh",25.27463,78.7022678,63.83999939,Exceeding
Nohar,Rajasthan,"Nohar, Rajasthan",29.17484,74.7688173,69.51999969,Exceeding
Nokha,Rajasthan,"Nokha, Rajasthan",27.55622,73.4731871,55.01999893,Exceeding
Nokha,Bihar,"Nokha, Bihar",25.1046,84.1421945,80.78000031,Exceeding
Noorpur,Uttar Pradesh,"Noorpur, Uttar Pradesh",29.15112,78.41266,59.04000092,Exceeding
North Dum Dum,West Bengal,"North Dum Dum, West Bengal",22.66261,88.4090043,65.21999969,Exceeding
Nowgong,Madhya Pradesh,"Nowgong, Madhya Pradesh",25.06225,79.4396622,62.05999985,Exceeding
Nowrozabad (Khodargama),Madhya Pradesh,"Nowrozabad (Khodargama), Madhya Pradesh",23.35247,80.9802002,45.31999969,Exceeding
Obra,Uttar Pradesh,"Obra, Uttar Pradesh",24.4745,82.9877866,48.1,Exceeding
Orai,Uttar Pradesh,"Orai, Uttar Pradesh",25.98752,79.4488695,86.5,Exceeding
Pachora,Maharashtra,"Pachora, Maharashtra",20.65889,75.3491798,52.28000107,Exceeding
Pachore,Madhya Pradesh,"Pachore, Madhya Pradesh",23.71346,76.7307663,53.05999985,Exceeding
Padra,Gujarat,"Padra, Gujarat",22.24116,73.085595,45.59999924,Exceeding
Padrauna,Uttar Pradesh,"Padrauna, Uttar Pradesh",26.89839,83.9797173,95.25999908,Exceeding
Paithan,Maharashtra,"Paithan, Maharashtra",19.47769,75.3849382,47.91999893,Exceeding
Pakaur,Jharkhand,"Pakaur, Jharkhand",24.63369,87.8500644,66.40000076,Exceeding
Pali,Rajasthan,"Pali, Rajasthan",25.77806,73.331147,53.96000061,Exceeding
Pali,Rajasthan,"Pali, Rajasthan",25.77806,73.331147,53.96000061,Exceeding
